FECDETALLE,CODIGO_SAP,TALLA,COLORES,MODELO,TIPO,PROM_FLG_DEPARTAMENTO_1_4_U3M_M2,TOT_PRECIO_CDESC_M0,TOT_PRECIO_M0,PROM_FLG_SUBCANAL_1_1_U3M_M1,PROM_FLG_DEPARTAMENTO_1_4_U3M_M1,PROM_FLG_SUBCANAL_1_1_U3M_M2,CLASS
201808,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,785.4866667,422.8336,424.6896,235,767.72,239,399
201809,10CLPY-1900LL0-SC001,L,COGNAC,PTY,SPT,767.72,46.5254,46.5254,205,738.12,235,8
201502,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,,9.8,9.8,,,,18
201503,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,,29.4,29.4,,,,75
201504,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,,14.7,14.7,,,,18
201505,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,,21.6,21.6,,,,44
201506,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,,27,27,12,58.8,,50
201507,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,58.8,57.672,59.4,42,205.8,12,90
201508,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,205.8,32.4,32.4,34,166.6,42,19
201509,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,166.6,42.768,43.2,44,222.6,34,72
201510,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,222.6,58.0151,59.53,34,180.6,44,92
201511,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,180.6,64.368,64.8,49,253.8,34,70
201512,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,253.8,46.7831,48.73,39,199.8,49,122
201602,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,172.8,32.4,32.4,50,234,41,24
201603,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,234,5.4,5.4,63,304.2,50,6
201604,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,304.2,59.598,61.73,69,374.4,63,118
201605,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,374.4,40.8,40.8,58,315.9,69,44
201606,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,315.9,23.6,23.6,43,234.9,58,16
201607,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,234.9,34.5322,34.5322,10,56.7,43,50
201608,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,56.7,52.628,53.1,41,75.6,10,89
201609,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,75.6,40.828,41.3,47,96.8,41,105
201610,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,96.8,82.93654,84.35254,47,120.4,47,207
201611,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,120.4,40.828,41.3,13,153.4,47,94
201612,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,153.4,53.1,53.1,21,200.6,13,72
201701,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,200.6,39.9602,40.4322,36,265.5,21,85
201702,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,265.5,34.0602,34.5322,61,330.4,36,55
201703,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,330.4,5.9,5.9,52,259.6,61,1
201704,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,259.6,34.928,35.4,56,277.3,52,83
201705,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,277.3,78.31708,80.20508,34,159.3,56,162
201706,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,159.3,29.5,29.5,37,206.5,34,20
201707,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,206.5,46.728,47.2,19,100.3,37,51
201708,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,100.3,46.728,47.2,29,165.2,19,71
201709,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,165.2,53.556,54.5,25,123.9,29,187
201710,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,123.9,64.428,64.9,28,135.7,25,117
